Study_Site,Snake_Name,t_pref_min,t_pref_max,t_opt
Canada,Albert,18.0,31.995965684876857,28.028593916817506
Texas-Marathon,Bonnie,15.7541353906249,31.15101353552466,20.39361443384934
Texas-Marathon,Caezar,10.069898949015158,25.43577834781334,20.654037372655456
Texas-Marathon,Cecilia,10.755924502344865,20.27955429357338,20.0
Texas-Marathon,Cher,17.863676197141416,31.975117094880225,20.40693057087411
Texas-Marathon,Cladwell,19.9650690211042,30.89992856145616,21.66521100574284
Canada,Cooper,18.032403569126416,32.01803209494649,27.656735748475523
Canada,Eddie,17.98311787066312,32.26638321840138,20.86277347447805
Canada,Hector,18.0,32.0,28.0
Nebraska,Horace,18.15298354903109,31.786572892182686,28.150506333800003
Canada,Hunter,19.982354696916065,32.0,20.00194183041627
Texas-Marathon,Janis,10.0,27.611758703223686,20.026055937879434
Canada,Kokanee,17.401431568814967,30.91385465213626,24.421262304283204
Canada,Manitoba,18.02522012375168,31.997532680278358,28.556323358501462
Canada,Moose,18.000000000003986,31.99999999999731,28.058086868129127
Texas-Marathon,Nando,17.87983570402505,32.0,22.7221648265206
Canada,Paloma,18.0,32.00079344597128,27.97816373161382
Nebraska,Ragnar,19.772982541350448,31.99133202239654,23.42007942454571
Texas-Marathon,Ringo,13.28546266498347,21.69141607295432,20.0
Texas-Marathon,Tornado,18.000396867202298,32.0,28.01625606647152
Canada,Victor,18.07122309262237,31.88112643809073,28.207185730227526
