Study_Site,Snake_Name,t_pref_min,t_pref_max,t_opt
Canada,Albert,20.163262242076403,29.42158963702943,27.313109822796612
Texas-Marathon,Bonnie,17.501038997683896,29.24046705678145,27.894588012853273
Texas-Marathon,Caezar,17.12018168762196,29.580040731902418,27.28546536559435
Texas-Marathon,Cecilia,16.344419819011282,27.262976801344195,24.070104211194877
Texas-Marathon,Cher,17.98131881545122,32.150743362100485,27.984224554576773
Texas-Marathon,Cladwell,16.572501812186417,29.518397577681572,24.7901450411237
Canada,Cooper,18.575372628538638,27.594090014919527,23.49244319493115
Canada,Eddie,18.098447482193286,32.43929573780505,27.697722519625763
Canada,Hector,18.299646689901664,31.071061187320453,27.074854841906202
Nebraska,Horace,18.0,32.0,28.0
Canada,Hunter,17.298054124614808,21.039575703994007,20.589577969629314
Texas-Marathon,Janis,10.57074653817583,26.996304481229586,26.94870907549068
Canada,Kokanee,20.161389467194816,29.15362575395605,22.00267460956732
Canada,Manitoba,18.970679949325792,30.539133204083022,25.22625315185218
Canada,Moose,20.163718100250936,28.40327347587674,24.376003254142407
Texas-Marathon,Nando,12.672408465862098,25.18138913889647,21.930320961395626
Canada,Paloma,19.236639825919895,30.412558931877623,27.548440365563206
Nebraska,Ragnar,22.74628220044861,26.507057296583778,24.8803769195068
Texas-Marathon,Ringo,12.396163001770734,26.51617614590705,24.687955251471305
Texas-Marathon,Tornado,17.521821924771576,29.584794855361277,27.648348838670827
Canada,Victor,19.204020214891422,27.48039257707463,26.000081962582936
