Study_Site,Snake_Name,t_pref_min,t_pref_max,t_opt
Canada,Albert,18.000193313683283,32.02712613301455,27.95314031926787
Canada,Cooper,18.0,32.0,28.0
Canada,Eddie,18.00297271063282,31.993675809537194,28.02902117745777
Canada,Hector,17.778855368092593,34.74559956950745,20.0
Canada,Hunter,18.00554509587976,31.79471195785546,28.671279241972613
Canada,Kokanee,18.0,32.0,28.0
Canada,Manitoba,18.1347959113471,32.05111824547169,29.82689571084917
Canada,Moose,18.05869830813672,32.015667858072874,27.803649059410553
Canada,Paloma,18.015782018961826,31.912907336820766,27.72875639744732
Canada,Victor,17.992586866520647,31.99838994587578,28.083004264842913
Nebraska,Horace,18.014807532113895,31.855173473769113,28.53565329103104
Nebraska,Ragnar,17.991868127345786,31.979690639286723,28.03850464636674
Texas-Marathon,Bonnie,15.128231463414991,30.815265978352016,20.000008167952164
Texas-Marathon,Caezar,18.17404397154609,31.437148213208896,26.126789469268626
Texas-Marathon,Cecilia,10.0,25.65215501113126,20.0
Texas-Marathon,Cher,22.682093250378212,32.42820155692726,23.509949588812272
Texas-Marathon,Cladwell,18.105060089821798,31.94004224999426,28.363061374901644
Texas-Marathon,Janis,10.221439764864268,32.29674169786139,20.0
Texas-Marathon,Nando,10.716588482562797,28.361970982122966,20.0
Texas-Marathon,Ringo,18.000000000000252,31.99999999999895,28.00000000000311
Texas-Marathon,Tornado,19.02546643167279,30.337295075944397,20.101854236234924
