Study_Site,Snake_Name,t_pref_min,t_pref_max,t_opt
Canada,Albert,16.092172012462505,37.70318574622721,26.75738476045771
Texas-Marathon,Bonnie,10.0,40.0,27.303273695638115
Texas-Marathon,Caezar,14.519935885935244,31.948797105496112,26.573856305072855
Texas-Marathon,Cecilia,12.129707724084192,35.808993671168075,23.737073743202842
Texas-Marathon,Cher,17.155440927084744,36.377753496634604,30.0
Texas-Marathon,Cladwell,13.844666255361304,39.89453202445193,25.47412446697205
Canada,Cooper,15.585252955059968,32.35672689394771,29.11605596711261
Canada,Eddie,18.0,32.0,28.0
Canada,Hector,18.011282661178846,32.0130203788257,27.92990028445873
Nebraska,Horace,17.789908848191526,32.07262130059168,27.879888429560054
Canada,Hunter,18.000000000014982,32.342520389743484,27.825079214149103
Texas-Marathon,Janis,12.134534430779588,40.0,28.673810828235112
Canada,Kokanee,17.072784261749348,31.808720556500475,26.38678433721735
Canada,Manitoba,18.452783274941268,30.33899540707486,26.672146328972786
Canada,Moose,19.143265402824525,33.35155893407795,30.0
Texas-Marathon,Nando,12.641468236011095,39.96460872336669,22.473694972128296
Canada,Paloma,19.69471105033239,37.863177708862224,29.828837632858598
Nebraska,Ragnar,19.35671943881017,31.804982338558666,28.277787441133768
Texas-Marathon,Ringo,10.0,39.98152945979504,26.996018034204337
Texas-Marathon,Tornado,17.718080846386105,31.868831775509857,27.937970506940314
Canada,Victor,24.30183516674474,36.62747370127087,30.0
