Study_Site,Snake_Name,t_pref_min,t_pref_max,t_opt
Canada,Albert,18.13229804456182,31.588542016618888,27.993575314177082
Canada,Cooper,18.39138849241276,32.04176429582742,26.950503528668996
Canada,Eddie,18.000653747510473,32.05434533294493,27.989263457701625
Canada,Hector,18.055909135382574,32.13118292048599,28.154350359929392
Canada,Hunter,17.845798217041285,31.923166963797595,28.515226607875174
Canada,Kokanee,18.153604150037832,31.76059751134637,27.959376037419112
Canada,Manitoba,17.923792112292322,31.861727156167202,28.110931377705242
Canada,Moose,17.995539261942948,31.9466026772809,27.664198040510286
Canada,Paloma,18.20145843839097,31.070499069788443,29.32985471830568
Canada,Victor,18.431265329921377,31.745219449959876,27.429241563630555
Nebraska,Horace,18.0,32.0,28.0
Nebraska,Ragnar,17.666709500985572,28.794008065370406,26.517477658510188
Texas-Marathon,Bonnie,13.8654103530505,27.798879371735534,26.557403033303626
Texas-Marathon,Caezar,17.99902242771847,31.9952215408454,28.049277179708373
Texas-Marathon,Cecilia,19.424489140414114,29.928051351261594,20.0
Texas-Marathon,Cher,17.99999999999737,31.999999999985224,28.000000000003347
Texas-Marathon,Cladwell,18.0,32.0,28.0
Texas-Marathon,Janis,17.999958629697066,31.9997598012768,28.00077186750135
Texas-Marathon,Nando,17.988375972204658,31.846663631011406,27.859969516428055
Texas-Marathon,Ringo,17.998772730875167,31.979974851254344,28.052463710309844
Texas-Marathon,Tornado,17.999913884502163,31.999537365334934,28.000907662022936
